News Title,Publisher name,Image url,Publisher image url,Publisher rectangle url,Updated,Link
Melaka volleyball coach in the eye of the storm apologises publicly,New Straits Times,https://image.luminews.my/8kvqq4fjlnyniucc0ryadt5wel7i,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,4 days ago,https://www.nst.com.my/sports/others/2023/01/867243/melaka-volleyball-coach-eye-storm-apologises-publicly
Ismail Sabri denies plotting to oust Zahid,New Straits Times,https://image.luminews.my/oi8a5dxsajk14ieluw15x0ts74sy,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,4 days ago,https://www.nst.com.my/news/politics/2023/01/867198/ismail-sabri-denies-plotting-oust-zahid
Pope Francis praises Benedict as Vatican prepares for funeral,FMT News,https://image.luminews.my/v5ty001bxdtgla8qd1j21w74alf0,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,4 days ago,https://www.freemalaysiatoday.com/category/world/2023/01/04/pope-francis-praises-benedict-as-vatican-prepares-for-funeral/
"""They Decided My Work Was Worth RM100"" – SG Employee Resigns After Being Snubbed By Bosses",SAYS,https://image.luminews.my/98dvxr2tv47fktn29sua2esywn88,https://image.luminews.my/ka0k8qfpbza9l2b1zr6pnveed7qe,https://image.luminews.my/lemd96w8l5h435lg4e9z4ecndeda,4 days ago,https://says.com/my/lifestyle/employee-quits-job-after-getting-low-pay-his-work
Parents Surprise Their 10-Year-Old Child With A Luxury Car At His Birthday Party,SAYS,https://image.luminews.my/xdes2nk94bb49z1lgujksdpi4dr3,https://image.luminews.my/ka0k8qfpbza9l2b1zr6pnveed7qe,https://image.luminews.my/lemd96w8l5h435lg4e9z4ecndeda,4 days ago,https://says.com/my/lifestyle/10-year-old-boy-gets-a-nissan-car-at-his-birthday-party
Not In The Mood For Bangkok? This Dreamy Farm Stay In Thailand Is The Perfect Getaway,SAYS,https://image.luminews.my/dhid1d4xjiun9gna0506jl3tvwqy,https://image.luminews.my/ka0k8qfpbza9l2b1zr6pnveed7qe,https://image.luminews.my/lemd96w8l5h435lg4e9z4ecndeda,4 days ago,https://says.com/my/lifestyle/dreamy-ahsa-farmstay-in-thailand
Batang Kali Landslide Survivors Who Lost Their Child Meet Up With Rescuers To Thank Them,SAYS,https://image.luminews.my/3uhpzsdzcv00n0mgodqoj6wzdt4b,https://image.luminews.my/ka0k8qfpbza9l2b1zr6pnveed7qe,https://image.luminews.my/lemd96w8l5h435lg4e9z4ecndeda,4 days ago,https://says.com/my/news/batang-kali-landslide-survivors-lost-child-thank-apm-rescuers
Anna Jobling Named One Of World's 100 Most Beautiful Faces,SAYS,https://image.luminews.my/9kh5vazjiwfncmqfc2jrqrm7c0ol,https://image.luminews.my/ka0k8qfpbza9l2b1zr6pnveed7qe,https://image.luminews.my/lemd96w8l5h435lg4e9z4ecndeda,4 days ago,https://says.com/my/entertainment/anna-jobling-first-msian-tc-worlds-100-most-beautiful-faces
Thai Woman Calls Out A M'sian Man Who Allegedly Ran Away Without Paying For Car Rental,SAYS,https://image.luminews.my/ghcb7jgb28qze8kk04r5g5lryu6y,https://image.luminews.my/ka0k8qfpbza9l2b1zr6pnveed7qe,https://image.luminews.my/lemd96w8l5h435lg4e9z4ecndeda,4 days ago,https://says.com/my/news/m-sian-man-allegedly-ran-away-without-paying-for-car-rental
32-Year-Old Woman Went On 100 Dates & Met 3 Men A Day After Breaking Up With Ex,SAYS,https://image.luminews.my/caw8prrspbk7rowo9cke84i7psju,https://image.luminews.my/ka0k8qfpbza9l2b1zr6pnveed7qe,https://image.luminews.my/lemd96w8l5h435lg4e9z4ecndeda,4 days ago,https://says.com/my/lifestyle/32-year-old-woman-goes-on-100-dates
"Five To Six Million Covid Vaccine Doses Left, Many Destroyed After Expiry",CodeBlue,https://image.luminews.my/23g86b7gned4m4y70kqg0v6g4ne2,https://image.luminews.my/596r0g3nuo374ch14c8l20nssv2i,https://image.luminews.my/o77x30f84ddlsf3vdjd8ipic3age,4 days ago,https://codeblue.galencentre.org/2023/01/04/five-to-six-million-covid-vaccine-doses-left-many-destroyed-after-expiry/
MMA wants stricter health measures to prevent the resurgence of Covid-19 cases,New Straits Times,https://image.luminews.my/epm1cqhvwhmci1k49ix7c27eew9y,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,4 days ago,https://www.nst.com.my/news/nation/2023/01/867112/mma-wants-stricter-health-measures-prevent-resurgence-covid-19-cases
Three villages in Subis hit by floods after heavy rain overnight,The Borneo Post,https://image.luminews.my/7kbo2utnmx4jxb3dyrlvc8slth7j,https://image.luminews.my/ko52gau8d5hsnipyc1g9tu8ibox4,https://image.luminews.my/dj1u667yq78wjhqr5mgu8vja7dbw,4 days ago,https://www.theborneopost.com/2023/01/04/three-villages-in-subis-hit-by-floods-after-heavy-rain-overnight/
"""It's Defecating"" – S'pore CNY Rabbit Mascot Becomes The 'Butt' Of The Joke Among Citizens",SAYS,https://image.luminews.my/veln93vq64d8ccjhyye5bbx8whel,https://image.luminews.my/ka0k8qfpbza9l2b1zr6pnveed7qe,https://image.luminews.my/lemd96w8l5h435lg4e9z4ecndeda,4 days ago,https://says.com/my/fun/funny-chinatown-singapore-cny-rabbit-mascot-criticised
PM: No discrimination in screening of travellers,New Straits Times,https://image.luminews.my/8epeqzdzyqt9nlp3f65ztrbnpbt4,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,4 days ago,https://www.nst.com.my/news/nation/2023/01/867090/pm-no-discrimination-screening-travellers
