News Title,Publisher name,Image url,Publisher image url,Publisher rectangle url,Updated,Link
Chung Hua Primary School No. 5 to hold e-waste campaign for charity,The Borneo Post,https://image.luminews.my/z97grqgp9jmimqxge5uws8ho48kr,https://image.luminews.my/ko52gau8d5hsnipyc1g9tu8ibox4,https://image.luminews.my/dj1u667yq78wjhqr5mgu8vja7dbw,1 hour ago,https://www.theborneopost.com/2023/01/09/chung-hua-primary-school-no-5-to-hold-e-waste-campaign-for-charity/
"Sibuti man in Miri fined RM2,000 for drug abuse",The Borneo Post,https://image.luminews.my/fqj8jn7vio0hqy1pm11zkp4ahjof,https://image.luminews.my/ko52gau8d5hsnipyc1g9tu8ibox4,https://image.luminews.my/dj1u667yq78wjhqr5mgu8vja7dbw,1 hour ago,https://www.theborneopost.com/2023/01/09/sibuti-man-in-miri-fined-rm2000-for-drug-abuse/
China's new Covid test protocol of travellers from abroad to determine variants,New Straits Times,https://image.luminews.my/pdwcthncmr3wbluta8ztfbpkpfb2,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,1 hour ago,https://www.nst.com.my/world/world/2023/01/868567/chinas-new-covid-test-protocol-travellers-abroad-determine-variants
"Ex-NGO chairman, treasurer remanded to assist false claim probe",The Malaysian Reserve,https://image.luminews.my/1efmqp0lasrp61scasd99y8xot1n,https://image.luminews.my/r0umhz9dkk0q9nrcp5izrarl08k9,https://image.luminews.my/nv3vj8tzhixqzakuxyz9z1tw3o4z,1 hour ago,https://themalaysianreserve.com/2023/01/09/ex-ngo-chairman-treasurer-remanded-to-assist-false-claim-probe/
[VIDEO] Grandma Gets Red Carpet Welcome From Family After Being Separated For 3 Years,SAYS,https://image.luminews.my/9hzo47ipwegqnxn9gh2vafydg31d,https://image.luminews.my/ka0k8qfpbza9l2b1zr6pnveed7qe,https://image.luminews.my/lemd96w8l5h435lg4e9z4ecndeda,1 hour ago,https://says.com/my/news/grandmother-red-carpet-welcome-separated-family-3-years
Taiwan slams Beijing for latest combat drills,FMT News,https://image.luminews.my/ud3mzcvl6exdo2w2w2kg3kejzenu,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,1 hour ago,https://www.freemalaysiatoday.com/category/world/2023/01/09/taiwan-slams-beijing-for-latest-combat-drills/
Nokia 5710 XpressAudio 4G Malaysia: There’s a pair of wireless earbuds built-in with this phone,SoyaCincau,https://image.luminews.my/dqia6vvagc3qz0qver3aqvrgoz5y,https://image.luminews.my/1gf54h7spaulkudx5tk7xo11ipsx,https://image.luminews.my/dlz35jbg62dvqpqebz04s38n55k8,1 hour ago,https://soyacincau.com/2023/01/09/nokia-5710-xpressaudio-4g-malaysia-theres-a-pair-of-wireless-earbuds-built-in-with-this-phone/
Virus wave slowing China’s efforts to secure power for rebound,FMT News,https://image.luminews.my/t6ubvfnhmrc1v34mkogiunqeria4,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,1 hour ago,https://www.freemalaysiatoday.com/category/business/2023/01/09/virus-wave-slowing-chinas-efforts-to-secure-power-for-rebound/
"Prasarana allocated RM2.8b to improve train, bus services",The Malaysian Reserve,https://image.luminews.my/zafbovekf3np9l3va03qh9w4bhcy,https://image.luminews.my/r0umhz9dkk0q9nrcp5izrarl08k9,https://image.luminews.my/nv3vj8tzhixqzakuxyz9z1tw3o4z,1 hour ago,https://themalaysianreserve.com/2023/01/09/prasarana-allocated-rm2-8b-to-improve-train-bus-services/
Taylor Swift’s Cat Is Crowned World’s Third-Richest Pet With A Total Net Worth of $97 Million,JUICE,https://image.luminews.my/nk8gpy0ni2a650ziyrx7gtkzqfja,https://image.luminews.my/a40swmjch81tbkhkc7go8be58wvn,https://image.luminews.my/tz76zdlqi73qqvez5gm178s3uzch,1 hour ago,https://juiceonline.com/taylor-swifts-cat-crowned-worlds-third-richest-pet-net-worth-97-million/
Ewon to take over as Upko president at party convention,FMT News,https://image.luminews.my/ctgsf4xre5ij820u8i8fea5c527z,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,1 hour ago,https://www.freemalaysiatoday.com/category/nation/2023/01/09/ewon-to-take-over-as-upko-president-at-party-convention/
Anwar arrives at Istana Bogor for visit with Jokowi,The Vibes,https://image.luminews.my/8mo3wjaho80u62q7hgy3ixwfeyhq,https://image.luminews.my/6s8zdom3g1ybn8psl194bno7sd5n,https://image.luminews.my/t7nf0vxw9xvmphhcy6y9klji1vkk,1 hour ago,https://www.thevibes.com/articles/news/82320/anwar-arrives-at-istana-bogor-for-visit-with-jokowi
Zaliha To Visit Oxford University On Future Of Malaysia’s Health Care System,CodeBlue,https://image.luminews.my/2na0nriue0lztb86uvuz29u142ie,https://image.luminews.my/596r0g3nuo374ch14c8l20nssv2i,https://image.luminews.my/o77x30f84ddlsf3vdjd8ipic3age,1 hour ago,https://codeblue.galencentre.org/2023/01/09/zaliha-to-visit-oxford-university-on-future-of-malaysias-health-care-system/
"Very unprofessional, disrespectful behavior' - Tian Chua",Sinar Daily,https://image.luminews.my/9oe47106346xk9yb173lzufiuxhb,https://image.luminews.my/4pzezu81wj0vw6wudfwelgkjdtzu,https://image.luminews.my/x3ftcyp5wazqvgxg615x64rpfxyl,1 hour ago,https://www.sinardaily.my/article/187948/malaysia/politics/very-unprofessional-disrespectful-behavior---tian-chua
Foreign investors net buyers in Bursa’s opening week for 2023,The Malaysian Reserve,https://image.luminews.my/4obnfwqocul7spvh3gjnppg5wlsq,https://image.luminews.my/r0umhz9dkk0q9nrcp5izrarl08k9,https://image.luminews.my/nv3vj8tzhixqzakuxyz9z1tw3o4z,1 hour ago,https://themalaysianreserve.com/2023/01/09/foreign-investors-net-buyers-in-bursas-opening-week-for-2023/
"In Jakarta, PM Anwar vows no compromise in war on graft even at risk to self",The Borneo Post,https://image.luminews.my/3xwd8qbuc78smx7t1b6lqot7857y,https://image.luminews.my/ko52gau8d5hsnipyc1g9tu8ibox4,https://image.luminews.my/dj1u667yq78wjhqr5mgu8vja7dbw,1 hour ago,https://www.theborneopost.com/2023/01/09/in-jakarta-pm-anwar-vows-no-compromise-in-war-on-graft-even-at-risk-to-self/
"The vivo X90 series is coming to Malaysia soon, date to be announced",TechNave,https://image.luminews.my/nwwjz85fwnsgomx8jllb5hj5j661,https://image.luminews.my/21eaac4t1vf2iesdatu940xcvb6y,https://image.luminews.my/ro6edlgelkrtz2r5go7ssts7nufz,1 hour ago,https://technave.com/gadget/The-vivo-X90-series-is-coming-to-Malaysia-soon-date-to-be-announced-33047.html
Soaring prices force Philippines to plan import of onions as inflation makes vegetable costlier than beef,South China Morning Post,https://image.luminews.my/vq88byukkl2b8w00n2xqvemdiusf,https://image.luminews.my/c1tb5x8fn5j5brchdqsuv6j5x6ta,https://image.luminews.my/acu9yvbwmw6sfidwnyokt3n5t5rl,1 hour ago,https://www.scmp.com/news/asia/southeast-asia/article/3206059/philippines-import-months-worth-onions-pull-down-prices-inflation-makes-vegetable-costlier-beef?utm_source=rss_feed
Lutong man stunned to find 3-metre python dropping into kitchen,The Borneo Post,https://image.luminews.my/gio5njnauuqoxnocx06oyux7otzd,https://image.luminews.my/ko52gau8d5hsnipyc1g9tu8ibox4,https://image.luminews.my/dj1u667yq78wjhqr5mgu8vja7dbw,1 hour ago,https://www.theborneopost.com/2023/01/09/lutong-man-stunned-to-find-3-metre-python-dropping-into-kitchen/
Will Tibetans’ ‘middle way’ China approach preserve peace in Himalayan region?,South China Morning Post,https://image.luminews.my/1u2prqzo45g2l5r52ndg2cbigmdn,https://image.luminews.my/c1tb5x8fn5j5brchdqsuv6j5x6ta,https://image.luminews.my/acu9yvbwmw6sfidwnyokt3n5t5rl,1 hour ago,https://www.scmp.com/week-asia/people/article/3205819/will-tibetans-middle-way-china-approach-preserve-peace-himalayan-region?utm_source=rss_feed
New movie turns spotlight on France's forgotten colonial troops,The Vibes,https://image.luminews.my/c11wll34pmysv8vn43vfi6itxuyw,https://image.luminews.my/6s8zdom3g1ybn8psl194bno7sd5n,https://image.luminews.my/t7nf0vxw9xvmphhcy6y9klji1vkk,1 hour ago,https://www.thevibes.com/articles/culture/82318/new-movie-turns-spotlight-on-frances-forgotten-colonial-troops
Religious Affairs Minister: Malaysia to raise umrah package price increase issue with Saudi Arabian govt,The Borneo Post,https://image.luminews.my/qjqvdintxt7dxgqjak4e99uv2ojg,https://image.luminews.my/ko52gau8d5hsnipyc1g9tu8ibox4,https://image.luminews.my/dj1u667yq78wjhqr5mgu8vja7dbw,1 hour ago,https://www.theborneopost.com/2023/01/09/religious-affairs-minister-malaysia-to-raise-umrah-package-price-increase-issue-with-saudi-arabian-govt/
Tian Chua slams PKR for announcing sacking to media first,FMT News,https://image.luminews.my/504ottp3yrc0nhwv2lbpq856rt6c,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,1 hour ago,https://www.freemalaysiatoday.com/category/nation/2023/01/09/tian-chua-slams-pkr-for-announcing-his-sacking-to-media-first/
Delivery Company Vows To Help Cancer Patient Deliver 5 Years Worth Of Gifts To Loved Ones,SAYS,https://image.luminews.my/c7ypo7bz065927pci934cgv514c9,https://image.luminews.my/ka0k8qfpbza9l2b1zr6pnveed7qe,https://image.luminews.my/lemd96w8l5h435lg4e9z4ecndeda,1 hour ago,https://says.com/my/news/delivery-company-help-cancer-patient-send-gifts-to-loved-ones
"Goldman Sachs to cut 3,200 jobs: Source",New Straits Times,https://image.luminews.my/iesp6d8zc8srrmvazoswob22g5b0,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,1 hour ago,https://www.nst.com.my/world/world/2023/01/868565/goldman-sachs-cut-3200-jobs-source
"China to collect, analyse Covid-19 test samples of travelers from abroad to determine variants",Sinar Daily,https://image.luminews.my/r2gro94rovsjnvymjrcg3psas8i3,https://image.luminews.my/4pzezu81wj0vw6wudfwelgkjdtzu,https://image.luminews.my/x3ftcyp5wazqvgxg615x64rpfxyl,1 hour ago,https://www.sinardaily.my/article/187947/world/news/china-to-collect-analyse-covid-19-test-samples-of-travellers-from-abroad-to-determine-variants
Shipping giant Evergreen gives mega 50-month bonuses to staff,FMT News,https://image.luminews.my/py71ur3c81f39ahtacom7z1e9o7l,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,1 hour ago,https://www.freemalaysiatoday.com/category/business/2023/01/09/shipping-giant-evergreen-gives-mega-50-month-bonuses-to-staff/
Malaysia's O&G sector to stay robust in 2023,New Straits Times,https://image.luminews.my/lez2tb4nw8es12pbkw2xb6llrfe4,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,1 hour ago,https://www.nst.com.my/business/2023/01/868563/malaysias-og-sector-stay-robust-2023
"RM1,000 compound ridiculous, does not make sense, MPK told",New Straits Times,https://image.luminews.my/3galoboqffqvpwyf8p0kcjtda9n8,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,1 hour ago,https://www.nst.com.my/news/nation/2023/01/868561/rm1000-compound-ridiculous-does-not-make-sense-mpk-told
Joko Widodo accords warm welcome to Anwar,New Straits Times,https://image.luminews.my/a1sbub68clcz883nv7t29px5cxvs,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,1 hour ago,https://www.nst.com.my/news/nation/2023/01/868559/joko-widodo-accords-warm-welcome-anwar
Is the U.S. getting closer to banning TikTok?,SoyaCincau,https://image.luminews.my/7ywc5kkcy52ykpujvb942x7516y5,https://image.luminews.my/1gf54h7spaulkudx5tk7xo11ipsx,https://image.luminews.my/dlz35jbg62dvqpqebz04s38n55k8,1 hour ago,https://soyacincau.com/2023/01/09/is-the-u-s-getting-closer-to-banning-tiktok/
"Asian Film Awards 2023 nominations: Decision to Leave, Drive My Car lead race; Hong Kong cinema represented by five movies",South China Morning Post,https://image.luminews.my/7bu13js0jjkdc5uhva0yw1403r5n,https://image.luminews.my/c1tb5x8fn5j5brchdqsuv6j5x6ta,https://image.luminews.my/acu9yvbwmw6sfidwnyokt3n5t5rl,1 hour ago,https://www.scmp.com/lifestyle/entertainment/article/3206060/asian-film-awards-2023-nominations-decision-leave-drive-my-car-lead-race-hong-kong-cinema?utm_source=rss_feed
MCMC: We Didn’t Send You Any Emails Or Messages Claiming That You Won A Cash Prize,TRP Tech,https://image.luminews.my/hib1dlidw89ludoe4nf6hsre3a78,https://image.luminews.my/tl3q1lp8hkv7a5u5vgvmu29skk76,https://image.luminews.my/1ftedid52nn7h956fsvgy23mevl4,1 hour ago,https://techtrp.com/news/2023/01/09/mcmc-we-didnt-send-you-any-emails-or-messages-claiming-that-you-won-a-cash-prize/
#TECH: Local company creates educational drone to promote STEM concepts in children,New Straits Times,https://image.luminews.my/yj7pqhdti5u69p2i9j8lh11549tq,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,1 hour ago,https://www.nst.com.my/lifestyle/bots/2023/01/868557/tech-local-company-creates-educational-drone-promote-stem-concepts
[Watch] 6 Men Arrested For Fighting And Damaging Car In Miri Mall Parking Lot,The Rakyat Post,https://image.luminews.my/d2udq8s9kakr1y635dm2huhqpf5h,https://image.luminews.my/fyd6tnm764q1b7w39z2fh10yl8nu,https://image.luminews.my/dcjibihy3jn5baph5jnuzvvuipws,1 hour ago,https://www.therakyatpost.com/news/2023/01/09/watch-6-men-arrested-for-fighting-and-damaging-car-in-miri-mall-parking-lot/
"Focus continues at Istana Seri Kinabalu, Sri Gaya on Sabah’s political situation",The Malaysian Reserve,https://image.luminews.my/bora1oa7pilga0ekn2d3srcidtjg,https://image.luminews.my/r0umhz9dkk0q9nrcp5izrarl08k9,https://image.luminews.my/nv3vj8tzhixqzakuxyz9z1tw3o4z,1 hour ago,https://themalaysianreserve.com/2023/01/09/focus-continues-at-istana-seri-kinabalu-sri-gaya-on-sabahs-political-situation/
